Theme_Code,Theme_Name,Papers_Count,Supporting_Papers,Key_Pattern_Across_Papers,Maturity_of_Evidence,Research_Gaps,Implications
VENDOR_LOCKIN,Vendor lock-in,3,"P009, P034, P049","3 paper(s) were coded to VENDOR_LOCKIN. Representative papers: Review of Tools for Zero-Code LLM Based Application Development; Towards the interoperability of low-code platforms Iván Alfonso1∗, Aaron Conrardy1,2∗, and Jordi Cabot1,2; Low‐Code and No‐Code Tools: A Valuable Aid or a Potential Threat to Professional Developers?",Moderate,"P009: . Trade-offs (customizability, scalability, vendor lock-in) are discussed in comparison with traditional and low-code development approaches. Finally, we outline future directions-including multimodal interfaces, on-device LLMs, and improved orchestration for democratizing app creation with AI. Our findings indicate that while zero-code LLM platforms greatly lower the barrier to creating AI-powered applications, they still face challenges in flexibility and reliability. Overall, the landscape is rapidly evolving, offering exciting opportunities to empower non-programmers to create sophisticated software. Keywords:Large Language Models, Citation Generation, Retrieval-Augmented Generation, AI Ethics, Multimodal LLMs, Evaluation Metrics. 1 Introduction The rise of no-code and low-code development platforms has significantly lowered the barrier for non-programmers to create software [1]. By providing visual interfaces, templates, and pre-built components, these platforms have democratized app development, enabling “citizen developers” to build and deploy applications arXiv:2510.19747v1 [cs.SE] 22 Oct 2025 2 Pattnayak et al. without traditional coding [2]. However, until recently, the complexity of custom logic still posed challenges-anything beyond simple workflows often required some coding or technical expertise. Large Language Models (LLMs) have emerged as a game-changer in t... | P034: . BESSER is an open-source low-code platform implemented in Python, featuring a modeling framework and a language called B-UML. This language supports the specification of several model types, including structural (or data), object, GUI, deployment, and state machines, adhering to recognized standards such as UML and IFML. In our implementation, models intended for migration are transformed into B-UML models that can still be edited to complete the imported model before regenerating it according to the target LCP. As an example, we show the transformation of a simple library data model (see the UML class diagram for this model in Figure 4). This model is originally defined in Mendix. Let’s assume we want to first export it from Mendix and import it into PowerApps. First, the Mendix data model is exported as a JSON file using the formal method provided by Mendix. Then, a T2M transformation for Mendix takes the Mendix model and transforms it into a B-UML compliant version. To be impor...","P009: For sensitive use cases, organizations may need enterprise-grade features like private deployments or strict data governance policies. | P049: To address this gap, we conducted a systematic mapping study to examine the broader implications of LC/NC tools from the developers’ perspective."
INTEGRATION,Integration,12,"P009, P017, P020, P021, P029, P030, P031, P032, P040, P043, P047, P048","12 paper(s) were coded to INTEGRATION. Representative papers: Review of Tools for Zero-Code LLM Based Application Development; Low-code to fight climate change: the Climaborough project; Building BESSER: an open-source low-code platform ⋆ Iv´ an Alfonso1, Aaron Conrardy1, Armen Sulejmani1, Atefeh Nirumand1, Fitash; An Empirical Study on Low-Code Programming using Traditional vs Large Language Model Support; Complex Systems Informatics and Modeling Quarterly (CSIMQ) eISSN: 2255-9922 Published online by RTU Press, https://csimq-journals.rtu.lv",Moderate,"P009: . Trade-offs (customizability, scalability, vendor lock-in) are discussed in comparison with traditional and low-code development approaches. Finally, we outline future directions-including multimodal interfaces, on-device LLMs, and improved orchestration for democratizing app creation with AI. Our findings indicate that while zero-code LLM platforms greatly lower the barrier to creating AI-powered applications, they still face challenges in flexibility and reliability. Overall, the landscape is rapidly evolving, offering exciting opportunities to empower non-programmers to create sophisticated software. Keywords:Large Language Models, Citation Generation, Retrieval-Augmented Generation, AI Ethics, Multimodal LLMs, Evaluation Metrics. 1 Introduction The rise of no-code and low-code development platforms has significantly lowered the barrier for non-programmers to create software [1]. By providing visual interfaces, templates, and pre-built components, these platforms have democratized app development, enabling “citizen developers” to build and deploy applications arXiv:2510.19747v1 [cs.SE] 22 Oct 2025 2 Pattnayak et al. without traditional coding [2]. However, until recently, the complexity of custom logic still posed challenges-anything beyond simple workflows often required some coding or technical expertise. Large Language Models (LLMs) have emerged as a game-changer in t... | P017: In an effort to support the performance tracking of the pilots deployed in the Climaborough project, we presented the concept of the Climaborough City Platform. Specifically, given the project’s goal of fast implementation of climate solutions, we focused on the low-code approach to quickly configure the backend and frontend environment of a no-code dashboard creator for non-technical users, enhanced by advanced interaction methods. Based on the feedback provided by cities, we will improve both aspects. We also plan to study in what other parts of the project architecture (potentially involving other WPs), a low-code strategy could also make sense. For instance, in the creation and execution of climate simulation scenarios. Finally, we plan to connect the Climaborough City Platform to other climate initiatives such as the NetZeroCities platform11 or the Climaborough twin project UP203012. This could include pushing or pulling data from the NetZeroCities knowledge repository or inclu... | P020: , we plan to add smart components to BESSER itself, facilitating the creation of B-UML models via low-modeling techniques [3] such as chatbots or automatic model inference from (semi)structured data. | P021: are articulated in Section 7. 2. Background 2.1. Low-Code Programming The term “low-code” first appeared in a report published by Forrester Research in 2014 [15]. The original meaning of the term was that applications could be developed quickly with minimal manual coding and minimal up-front investment in setup, training, and deployment. However, in subsequent reports and research on LCP, the definition of the term “low-code” remained in a constant state of flux and ambiguity [16, 17, 18]. To address this ambiguity, the definition proposed by Hirzel [2] is adopted in this paper, which emphasizes that LCP are technologies designed to minimize text-based programming, with the core aim of reducing reliance on manual coding, whether through VPLs, PBD, or PBNL. Whether for professional developers or amateur developers, the purpose of LCP is to save manual programming time and reduce the learning cost of manual programming as much as possible [19]. Traditional LCP tools, such as Power App...","P009: For sensitive use cases, organizations may need enterprise-grade features like private deployments or strict data governance policies. | P020: Section 3 showcases some practical applications of BESSER through case studies. | P021: Developers frequented the platform to delve into issues related to the practical aspects of coding, making the implementation phase the focal point of discussions."
USABILITY_UX,Usability and user experience,13,"P003, P010, P017, P018, P019, P022, P023, P024, P027, P031, P037, P043, P050",13 paper(s) were coded to USABILITY_UX. Representative papers: Design Behaviour and Interface Consistency in Generative No-Code Tools: A Systematic Literature Review; Towards LLM-powered consistency in model-based low-code platforms; Low-code to fight climate change: the Climaborough project; Adoption of low-code and no-code development: A systematic literature review and future research agenda; Democratizing Machine Learning: A Practical Comparison of Low-Code and No-Code Platforms,Moderate,"P003: should investigate: • how users form mental models of generative behavior • how interfaces communicate degrees of confidence or stability • how users constrain exploration without over-specifying solutions • how iterative refinement affects trust and perceived control In this context, prompting functions as an ongoing negotiation process. Interfaces that expose alternatives, preserve state across iterations, and communicate change boundaries may improve user confidence and reduce corrective interaction cycles. 6.6. Implications for Software Engineering Research Generative interface development alters the nature of software artifacts from fixed implementations to variable outputs produced by a generation process. As a result, engineering practices must evaluate reliability of the process rather than correctness of a single instance. Quality assurance therefore shifts toward: https://doi.org/10.3390/computers15040238 Computers 2026, 15, 238 21 of 25 • managing prompt and model configu... | P010: . | P017: In an effort to support the performance tracking of the pilots deployed in the Climaborough project, we presented the concept of the Climaborough City Platform. Specifically, given the project’s goal of fast implementation of climate solutions, we focused on the low-code approach to quickly configure the backend and frontend environment of a no-code dashboard creator for non-technical users, enhanced by advanced interaction methods. Based on the feedback provided by cities, we will improve both aspects. We also plan to study in what other parts of the project architecture (potentially involving other WPs), a low-code strategy could also make sense. For instance, in the creation and execution of climate simulation scenarios. Finally, we plan to connect the Climaborough City Platform to other climate initiatives such as the NetZeroCities platform11 or the Climaborough twin project UP203012. This could include pushing or pulling data from the NetZeroCities knowledge repository or inclu... | P018: agenda Matthew Oladeji Ajimati * , Noel Carroll , Mary Maher Business Information Systems, J.E. Cairnes School of Business & Economics, University of Galway, Ireland ARTICLE INFO Keywords: Citizen development Low-code No-code Digital transformation Systematic literature review ABSTRACT Context: Low-code/no-code (LCNC) is an emerging technology trend that extends software development beyond professionalsoftware engineers, making it accessible to individuals throughout organizations and society. Objective: We aim to provide a systematic review of the current research on the adoption of LCNC technologies within citizen development (CD) practices for digital transformation (DT), and to propose a research agenda for this field. Method: This review is primarily conducted using a multi-phase systematic literature review of publications from the past five years, i.e., between 2017 and 2023. Results: We identified 40 primary studies that describes the application of LCNC development and CD p...","P003: Rather than redefining their general characteristics, this section focuses on their role within contemporary software ecosystems and their implications for automated interface generation. | P018: This question ex - plores the state of research on the theoretical, methodological, and practical contributions to studying the adoption of LCNC and CD adoption to drive DT initiatives within organizations. • RQ2 - How do organizations evaluate the methods they use in measuring the benefits of LCNC adoption and CD practices? | P019: Democratizing Machine Learning: A Practical Comparison of Low-Code and No-Code Platforms."
PRO_DEV_ROLE,Professional developer role change,5,"P015, P016, P032, P046, P049","5 paper(s) were coded to PRO_DEV_ROLE. Representative papers: Unclear: title not reliably parsed from PDF text; filename suggests 'Potentials and Risks of the Low-Code Development'; Addressing Skills Shortages through Low-Code/No-Code: Skill Profiles and Implementation Challenges; System Demonstrations, pages 72-79 November 12-16, 2024 ©2024 Association for Computational Linguistics AUTO GEN STUDIO : A No-Code Developer Tool for Building and; Requirements Engineering for No-Code Development (RE4NCD); Low‐Code and No‐Code Tools: A Valuable Aid or a Potential Threat to Professional Developers?",Moderate,"P016: on the skills needed by citizen developers using LCNC tools in corporate and public-sector contexts. Our analysis of 58 articles identifies three key skill categories: hard skills, such as programming and working with APIs; soft skills, such as com - munication and collaboration; and domain-specific knowledge. However, challenges exist in the upskilling process. Addition - ally, generative AI (GenAI) shows potential to expand LCNC capabilities. Nevertheless, the intersection of LCNC and publicsector transformation remains underexplored, highlighting the need for deeper studies focused on sector-specific challenges, use cases, and long-term adoption. Index Terms -Low-Code, No-Code, Citizen Developer, Skills, Innovations, Digital Transformation. I. INTRODUCTION NFORMATION and communication technology (ICT) has undergone rapid changes over the decades-particu - larly in the last ten to fifteen years-and has had a far-reach - ing impact on almost every aspect of daily life. These change... | P032: directions. To the best of our knowledge, AUTO GEN STUDIO is the first open-source project to explore a no-code interface for autonomous MULTI -AGENT application development, providing a suitable platform for research and practice in MULTI -AGENT developer tooling. 2 Related Work 2.1 Agents ( LLMs + Tools) Generative AI models face limitations, including hallucination - generating content not grounded in fact - and limited performance on reasoning tasks or novel out-of-distribution problems. To address these issues, practice has shifted towards agentic implementations where models are given access to tools to act and augment their performance (Mialon et al., 2023). Agentic implementations, such as React (Yao et al., 2022), explore a Reason and Act paradigm that uses LLMs to generate both reasoning traces and task-specific actions in an interleaved manner. As part of this process, developers have explored frameworks that build prescriptive pipelines interleaving models and tools (e.g... | P046: aimed at refining and validating the RE4NCD method, tracking the adoption and evolution of applications in diverse organizations, and applying the method to additional case studies for comprehensive evaluation and validation. Keywords: Requirements Engineering · No-Code Development · Rapid Development · War · Crisis 1 Introduction Research of requirements engineering (RE) in times of crisis, such as fire, flood, tsunami, or terrorist attack, is an emerging field that copes with the unique challenges of developing software systems that can deliver information for managing such events [ 13]. Rapid application development (RAD) and no-code development (NCD) platforms aim to provide drag-and-drop tools to enable users in a constrained domain to develop applications by assembling pre-coded components [ 5]. While this prototyping approach is very appealing for rapid development in a bottom-up manner by both expert and nonexpert developers, it requires applying the necessary rigorous techn...","P015: This democratization of software development presents significant opportunities but also introduces risks, creating a trade-off for IT governance. | P016: In addition to the organizational perspective on the benefits of digitalization, there are also macroeconomic and labormarket implications. | P046: Contribution: The paper highlights the theoretical and practical implications of RE4NCD, underscoring the potential transformative impact of NCD on the software development industry."
EDUCATION,Education and training,18,"P001, P005, P006, P007, P016, P019, P023, P024, P026, P027, P035, P036, P037, P038, P044, P045, P047, P050",18 paper(s) were coded to EDUCATION. Representative papers: AI-for-Science Low-code Platform with Bayesian Adversarial Multi-Agent Framework; Exploring Influence Factors on LLM Suitability for No-Code Development of End User IoT Applications; DMN-Guided Prompting: A Framework for Controlling LLM Behavior; Fine-Tune an SLM or Prompt an LLM? The Case of Generating Low-Code Workflows; Addressing Skills Shortages through Low-Code/No-Code: Skill Profiles and Implementation Challenges,Moderate,"P001: will focus on extending the Bayesian updates to handle multi-modal inputs, such as equations and diagrams, and optimizing the iteration protocols for large-scale scientific simulations. | P005: . 5.1 Model Selection Strategy With the release of a range of diverse LLMs in recent years, new opportunities for NCDP rose. However, it is challenging to maintain an overview over model performances and select the most suitable for the use case at hand. With a vast number of available LLMs, each exhibiting different strengths and weaknesses, choosing the right model requires careful consideration. In this case, we select five LLMs that differ in design intent, optimization strategy, scale, and open-source or proprietary to assess their suitability for NCDPs. According to the experiment results, the general-purpose LLMs with strong capability, such asOpenAImodels, i.e.,GPT-4o andGPT-4o-mini, consistently show strong performance among tasks in different levels of complexity and outperform the other models. This is true even for the LLM designed specific for software engineering tasks, e.g.,Copilot, open-source LLM optimized for efficiency and strong adaptability, e.g.,LLaMA, and LLM... | P006: can expand in several directions. First, exploring how DMN-guided prompting can be adapted for other application domains, such as healthcare or compliance auditing, will help assess its generalizability. Second, combining DMN with retrieval-augmented generation (RAG) may further enhance reasoning grounded in external knowledge. Third, if customized message generation is desired, the LLM can post-process the output messages using a secondary prompt; otherwise, the framework returns only the predefined messages specified in the DMN logic. Fourth, this approach can be complemented by incorporating few-shot learning, where example inputs are used to improve LLM accuracy when interpreting or applying DMN rules. Fifth, other ways of defining DMN rules and alternative strategies for prompt construction can be explored to increase flexibility and expressiveness. Finally, investigating multi-turn interactions and conversational agents powered by DMN-guided LLMs could open new opportunities f... | P007: . We address the third drawback by computing the percentage of generated examples with at least one such structure error. While the most complete metric is FlowSim of outline and inputs , we also report FlowSim of outline, and the percentage of examples with structure errors. 5 Results Figure 4 shows the results for our fine-tuned SLM and all other LLMs on the small TEST and the larger OOD datasets. MistralNemo-12B-Instruct performs poorly across the board confirming that SLMs require workflow in-domain training data. LLMs of the ""mini"" sort, even o3-mini with medium reasoning, also do not perform well. When we prompt larger LLMs, we see competitive results, especially with Gemini-2.0-Flash and GPT-4o. As generating the outline is a simpler task, we see a larger gap between our fine-tuned SLM and these models when we generate the complete workflow (outline and inputs). This gap is 7.2% on TEST but 12.4% on OOD, around 10% if we average the two. All models perform worse when the requ...","P001: While this increased token budget can be a practical constraint for long pipelines, in reliability-critical scientific applications, we prioritize executable correctness and robustness over marginal token savings. | P005: Our findings offer practical insights into how LLMs can be effectively integrated into NCDPs, informing both platform design and the selection of suitable LLMs for end-user application development. | P006: Hit policy:Loan Approval Rule Unique  > 50000 >= 700 approve > 50000 [650..700[ manual_review - - decline - - Annotations 1 2 3  Then Is Eligible for Loan? string  When salary string And creditScore string  Fig."
AI_AUTOMATION,AI and automation,34,"P001, P002, P003, P004, P005, P006, P007, P008, P009, P010, P011, P016, P017, P019, P020, P021, P022, P025, P027, P031, P032, P033, P034, P035, P036, P037, P038, P039, P040, P041, P042, P044, P048, P050",34 paper(s) were coded to AI_AUTOMATION. Representative papers: AI-for-Science Low-code Platform with Bayesian Adversarial Multi-Agent Framework; Low-code and no-code with BESSER to create and deploy smart web applications; Design Behaviour and Interface Consistency in Generative No-Code Tools: A Systematic Literature Review; LLM4FaaS: No-Code Application Development using LLMs and FaaS; Exploring Influence Factors on LLM Suitability for No-Code Development of End User IoT Applications,Moderate,"P001: will focus on extending the Bayesian updates to handle multi-modal inputs, such as equations and diagrams, and optimizing the iteration protocols for large-scale scientific simulations. | P003: should investigate: • how users form mental models of generative behavior • how interfaces communicate degrees of confidence or stability • how users constrain exploration without over-specifying solutions • how iterative refinement affects trust and perceived control In this context, prompting functions as an ongoing negotiation process. Interfaces that expose alternatives, preserve state across iterations, and communicate change boundaries may improve user confidence and reduce corrective interaction cycles. 6.6. Implications for Software Engineering Research Generative interface development alters the nature of software artifacts from fixed implementations to variable outputs produced by a generation process. As a result, engineering practices must evaluate reliability of the process rather than correctness of a single instance. Quality assurance therefore shifts toward: https://doi.org/10.3390/computers15040238 Computers 2026, 15, 238 21 of 25 • managing prompt and model configu... | P004: on prompting strategies could help LLM4FaaS better handle complex, multi-intent tasks. 4.4.3 Model Selection.We choose GPT-4o as the primary LLM for LLM4FaaS due to its advanced capabilities and strong performance in non-English languages [ 13]. LLM4FaaS exhibits practical performance with GPT-4o, even when handling more complex tasks. Nevertheless, advances in LLMs will likely improve the performance of LLM4FaaS. In future work, we plan to further evaluate our approach with different LLMs, including models specifically trained for software development. 4.4.4 Size of the User Group.In this paper, our evaluation is based on answers from 26 non-technical users. While it would have been desirable to work with a larger user group for our experiments, this was not feasible due to the resulting effort in acquiring additional users and handling their answers which both required significant manual effort. Nevertheless, we believe that our experiments reliably demonstrate the effectiveness o... | P005: . 5.1 Model Selection Strategy With the release of a range of diverse LLMs in recent years, new opportunities for NCDP rose. However, it is challenging to maintain an overview over model performances and select the most suitable for the use case at hand. With a vast number of available LLMs, each exhibiting different strengths and weaknesses, choosing the right model requires careful consideration. In this case, we select five LLMs that differ in design intent, optimization strategy, scale, and open-source or proprietary to assess their suitability for NCDPs. According to the experiment results, the general-purpose LLMs with strong capability, such asOpenAImodels, i.e.,GPT-4o andGPT-4o-mini, consistently show strong performance among tasks in different levels of complexity and outperform the other models. This is true even for the LLM designed specific for software engineering tasks, e.g.,Copilot, open-source LLM optimized for efficiency and strong adaptability, e.g.,LLaMA, and LLM...","P001: While this increased token budget can be a practical constraint for long pipelines, in reliability-critical scientific applications, we prioritize executable correctness and robustness over marginal token savings. | P003: Rather than redefining their general characteristics, this section focuses on their role within contemporary software ecosystems and their implications for automated interface generation. | P004: Beyond academic prototypes, practical notebook-based systems, e.g., Google Colab, Replit, also demonstrate the feasibility of interactive code generation and execution."
QUALITY_TESTING,Quality assurance and testing,6,"P001, P004, P008, P021, P026, P042",6 paper(s) were coded to QUALITY_TESTING. Representative papers: AI-for-Science Low-code Platform with Bayesian Adversarial Multi-Agent Framework; LLM4FaaS: No-Code Application Development using LLMs and FaaS; NoCode-bench: A Benchmark for Evaluating Natural Language-Driven Feature Addition; An Empirical Study on Low-Code Programming using Traditional vs Large Language Model Support; What&#x0027;s Wrong With Low-Code Development Platforms? An Empirical Study of Low-Code Development Platform Bugs,Moderate,"P001: will focus on extending the Bayesian updates to handle multi-modal inputs, such as equations and diagrams, and optimizing the iteration protocols for large-scale scientific simulations. | P004: on prompting strategies could help LLM4FaaS better handle complex, multi-intent tasks. 4.4.3 Model Selection.We choose GPT-4o as the primary LLM for LLM4FaaS due to its advanced capabilities and strong performance in non-English languages [ 13]. LLM4FaaS exhibits practical performance with GPT-4o, even when handling more complex tasks. Nevertheless, advances in LLMs will likely improve the performance of LLM4FaaS. In future work, we plan to further evaluate our approach with different LLMs, including models specifically trained for software development. 4.4.4 Size of the User Group.In this paper, our evaluation is based on answers from 26 non-technical users. While it would have been desirable to work with a larger user group for our experiments, this was not feasible due to the resulting effort in acquiring additional users and handling their answers which both required significant manual effort. Nevertheless, we believe that our experiments reliably demonstrate the effectiveness o... | P008: . Considering the better performance of Agentless, we Table 5: Performance comparison across different LLMs on NoCode-bench Full with Agentless. Model Success% Applied% RT% FV-Micro FV-Macro File% #Token Qwen3-235B6.62% 99.37% 75.24% 10.78% 15.77% 39.46% 0.19M GPT-4o 9.31% 97.00% 71.14% 8.68% 17.81% 43.58% 0.11M DeepSeek-v311.83% 99.84% 77.44% 16.02% 24.09% 47.48%0.31M DeepSeek-R1 14.83%95.90% 79.34% 10.53% 25.78% 44.89% 0.57M Average 10.65% 98.03% 75.79% 11.50% 20.86% 43.85% 0.30M use it as the scaffold to evaluate the remaining four models on NoCode-bench Full, and report the results in Table 5. We find that all four models show decreased performance on NoCode-bench Full compared to NoCode-bench Verified. Specifically, the average success rate of the four used models drops from 18.20% to 10.65%, and the accuracy of modified files drops from 49.49% to 43.85%. We further investigate the causes of this phenomenon. Since NoCode-bench Full is a large-scale dataset involving more extens... | P021: are articulated in Section 7. 2. Background 2.1. Low-Code Programming The term “low-code” first appeared in a report published by Forrester Research in 2014 [15]. The original meaning of the term was that applications could be developed quickly with minimal manual coding and minimal up-front investment in setup, training, and deployment. However, in subsequent reports and research on LCP, the definition of the term “low-code” remained in a constant state of flux and ambiguity [16, 17, 18]. To address this ambiguity, the definition proposed by Hirzel [2] is adopted in this paper, which emphasizes that LCP are technologies designed to minimize text-based programming, with the core aim of reducing reliance on manual coding, whether through VPLs, PBD, or PBNL. Whether for professional developers or amateur developers, the purpose of LCP is to save manual programming time and reduce the learning cost of manual programming as much as possible [19]. Traditional LCP tools, such as Power App...","P001: While this increased token budget can be a practical constraint for long pipelines, in reliability-critical scientific applications, we prioritize executable correctness and robustness over marginal token savings. | P004: Beyond academic prototypes, practical notebook-based systems, e.g., Google Colab, Replit, also demonstrate the feasibility of interactive code generation and execution. | P021: Developers frequented the platform to delve into issues related to the practical aspects of coding, making the implementation phase the focal point of discussions."
ETHICS_ACCESSIBILITY,Ethics and accessibility,1,P042,"1 paper(s) were coded to ETHICS_ACCESSIBILITY. Representative papers: Agentic Metacognition: Designing a ""Self-Aware"" Low-Code Agent for Failure Prediction and Human Handoff",Emerging,"P042: should focus on several key areas: • Expanding the experimental design to include a more diverse range of agent failure modes, such as hallucinations, incorrect tool use, and data quality issues [9, 10]. • Conducting user studies to quantitatively measure the impact of the reasoning trace on human trust, user confidence, and long-term skill acquisition. • Developing and testing optimization techniques, such as adaptive methods for model training and inference [20, 23], to reduce the computational and latency overhead of the metacognitive layer without compromising its effectiveness.",P042: The report discusses the practical and ethical implications of this approach and identifies key directions for future research.
DOMAIN_SPECIFIC,Domain-specific use,4,"P011, P017, P045, P048","4 paper(s) were coded to DOMAIN_SPECIFIC. Representative papers: Low-Code and No-Code Development in the Era of Artificial Intelligence: A Systematic Review; Low-code to fight climate change: the Climaborough project; A Configuration-First Framework for Reproducible, Low-Code Localization; Feasibility of Low-Code Development Platforms in Precision Agriculture: Opportunities, Challenges, and Future Directions",Moderate,"P011: on theory, governance, and sector-specific best practices. Keywords: Low-Code; No-Code; Development; Innovation; Artificial Intelligence; Citizen Development. RESUMEN El desarrollo low-code y no-code ha transformado la creación de software al permitir que personas sin conocimientos avanzados de programación construyan aplicaciones mediante interfaces visuales. Con la creciente integración de la inteligencia artificial (IA), estas plataformas están evolucionando hacia entornos inteligentes que aceleran la innovación y reducen la escasez global de desarrolladores especializados. La importancia de esta investigación radica en que aclara cómo la IA potencia el desarrollo LCNC, un campo cada vez más central en la transformación digital y la automatización. Mediante el método de revisión sistemática de la literatura (SLR), el estudio recopiló 1 582 registros iniciales de Scopus, EBSCO y AISeL, aplicando criterios de inclusión y exclusión bajo el enfoque PRISMA hasta llegar a 60 artículos... | P017: In an effort to support the performance tracking of the pilots deployed in the Climaborough project, we presented the concept of the Climaborough City Platform. Specifically, given the project’s goal of fast implementation of climate solutions, we focused on the low-code approach to quickly configure the backend and frontend environment of a no-code dashboard creator for non-technical users, enhanced by advanced interaction methods. Based on the feedback provided by cities, we will improve both aspects. We also plan to study in what other parts of the project architecture (potentially involving other WPs), a low-code strategy could also make sense. For instance, in the creation and execution of climate simulation scenarios. Finally, we plan to connect the Climaborough City Platform to other climate initiatives such as the NetZeroCities platform11 or the Climaborough twin project UP203012. This could include pushing or pulling data from the NetZeroCities knowledge repository or inclu... | P045: of the orchestration logic, confirming the framework’s robust scalability. VIII. THREATS TOVALIDITY We discuss threats to validity following established empirical software engineering guidelines, reflecting limitations identified during the design and evaluation of the LOCALIZE framework. Internal validityconcerns whether observed effects are attributable to the framework rather than confounding factors. The quantitative comparison against a Jupyter notebook baseline relies on functionally equivalent pipelines implemented by the authors. Although both implementations used identical algorithms, datasets, hyperparameters, and evaluation procedures, some implementation bias may remain. To mitigate this risk, both pipelines were validated to produce identical outputs under identical configurations, and execution isolation was enforced in the notebook baseline by running each experiment in a fresh process. Runtime and memory measurements were conducted in a controlled environment with consistent hardware and software configurations, and results were averaged across repeated runs. Nevertheless, transient system effects and library-level nondeterminism may still introduce minor variability, which is inherent to ML experimentation and was minimized but not entirely eliminated. Construct validityaddresses whether the selected metrics capture the intended constructs. Developer effort... | P048: will focus on the selection of appropriate LCDPs and the development of applications specifically designed for PA. This will involve addressing identified challenges such as integration with IoT, improving scalability and adaptability, and refining the user experience. By advancing research in this area, LCDPs can play an important role in the digital transformation of precision agriculture, optimizing operations and contributing to the sustainability and technological advancement of the agricultural sector. Land 2024, 13, 1758 26 of 31 Author Contributions: Conceptualization, E.G., B.T., Ö.B. and Q.L.; Methodology, E.G., B.T., Ö.B. and Q.L.; Investigation, E.G., B.T., Ö.B. and Q.L.; Writing-original draft, E.G., B.T., Ö.B. and Q.L.; Writing-review & editing, E.G., B.T. and Q.L.; Supervision, B.T. and Ö.B. All authors have read and agreed to the published version of the manuscript. Funding: This research received no external funding. Data Availability Statement: The original contrib...","P011: The study concluded that the convergence of LCNC and AI marks a shift toward intelligent, citizen-driven software development, underscoring the need for future research on theory, governance, and sector-specific best practices. | P045: Overall, the framework, validated for a localization use case, makes reproducible machine-learning-based model development practical, accessible, and extensible. | P048: This study contributes to the growing knowledge base in agricultural technology, offering valuable insights for researchers, practitioners, and policymakers looking to leverage LCDPs for sustainable and efficient farming practices."
PLATFORM_COMPARISON,Platform comparison,40,"P001, P002, P003, P004, P005, P007, P008, P009, P012, P013, P014, P018, P019, P020, P021, P022, P023, P024, P025, P026, P027, P028, P029, P030, P032, P033, P034, P037, P038, P039, P040, P041, P042, P043, P044, P045, P046, P047, P049, P050",40 paper(s) were coded to PLATFORM_COMPARISON. Representative papers: AI-for-Science Low-code Platform with Bayesian Adversarial Multi-Agent Framework; Low-code and no-code with BESSER to create and deploy smart web applications; Design Behaviour and Interface Consistency in Generative No-Code Tools: A Systematic Literature Review; LLM4FaaS: No-Code Application Development using LLMs and FaaS; Exploring Influence Factors on LLM Suitability for No-Code Development of End User IoT Applications,Moderate,"P001: will focus on extending the Bayesian updates to handle multi-modal inputs, such as equations and diagrams, and optimizing the iteration protocols for large-scale scientific simulations. | P003: should investigate: • how users form mental models of generative behavior • how interfaces communicate degrees of confidence or stability • how users constrain exploration without over-specifying solutions • how iterative refinement affects trust and perceived control In this context, prompting functions as an ongoing negotiation process. Interfaces that expose alternatives, preserve state across iterations, and communicate change boundaries may improve user confidence and reduce corrective interaction cycles. 6.6. Implications for Software Engineering Research Generative interface development alters the nature of software artifacts from fixed implementations to variable outputs produced by a generation process. As a result, engineering practices must evaluate reliability of the process rather than correctness of a single instance. Quality assurance therefore shifts toward: https://doi.org/10.3390/computers15040238 Computers 2026, 15, 238 21 of 25 • managing prompt and model configu... | P004: on prompting strategies could help LLM4FaaS better handle complex, multi-intent tasks. 4.4.3 Model Selection.We choose GPT-4o as the primary LLM for LLM4FaaS due to its advanced capabilities and strong performance in non-English languages [ 13]. LLM4FaaS exhibits practical performance with GPT-4o, even when handling more complex tasks. Nevertheless, advances in LLMs will likely improve the performance of LLM4FaaS. In future work, we plan to further evaluate our approach with different LLMs, including models specifically trained for software development. 4.4.4 Size of the User Group.In this paper, our evaluation is based on answers from 26 non-technical users. While it would have been desirable to work with a larger user group for our experiments, this was not feasible due to the resulting effort in acquiring additional users and handling their answers which both required significant manual effort. Nevertheless, we believe that our experiments reliably demonstrate the effectiveness o... | P005: . 5.1 Model Selection Strategy With the release of a range of diverse LLMs in recent years, new opportunities for NCDP rose. However, it is challenging to maintain an overview over model performances and select the most suitable for the use case at hand. With a vast number of available LLMs, each exhibiting different strengths and weaknesses, choosing the right model requires careful consideration. In this case, we select five LLMs that differ in design intent, optimization strategy, scale, and open-source or proprietary to assess their suitability for NCDPs. According to the experiment results, the general-purpose LLMs with strong capability, such asOpenAImodels, i.e.,GPT-4o andGPT-4o-mini, consistently show strong performance among tasks in different levels of complexity and outperform the other models. This is true even for the LLM designed specific for software engineering tasks, e.g.,Copilot, open-source LLM optimized for efficiency and strong adaptability, e.g.,LLaMA, and LLM...","P001: While this increased token budget can be a practical constraint for long pipelines, in reliability-critical scientific applications, we prioritize executable correctness and robustness over marginal token savings. | P003: Rather than redefining their general characteristics, this section focuses on their role within contemporary software ecosystems and their implications for automated interface generation. | P004: Beyond academic prototypes, practical notebook-based systems, e.g., Google Colab, Replit, also demonstrate the feasibility of interactive code generation and execution."
