Paper_ID,File_Name,PDF_Path,Size_Bytes,Pages,Text_Characters,Extraction_Status,Text_Extraction_Error
P038,38.A Low Code Development Platform for AI Applications in Industry.pdf,research paper\38.A Low Code Development Platform for AI Applications in Industry.pdf,3324803,8,40927,Completed,
P039,39.AI for Low-Code for AI.pdf,research paper\39.AI for Low-Code for AI.pdf,1716895,16,92475,Completed,
P040,40.Implementing Multimodal Large Language Model-Powered Multi-Agent Systems Using a No-Code Platform.pdf,research paper\40.Implementing Multimodal Large Language Model-Powered Multi-Agent Systems Using a No-Code Platform.pdf,2815671,22,80311,Completed,
P041,41.Memory Management and Contextual Consistency for Long-Running Low-Code Agents.pdf,research paper\41.Memory Management and Contextual Consistency for Long-Running Low-Code Agents.pdf,483649,12,29519,Completed,
P042,42.Agentic Metacognition.pdf,research paper\42.Agentic Metacognition.pdf,137683,9,31328,Completed,
P043,43.Improving the Developer Experience with a Low-Code Process Modelling Language.pdf,research paper\43.Improving the Developer Experience with a Low-Code Process Modelling Language.pdf,890007,11,64559,Completed,
P044,44.Feasibility of AI-Assisted Programming for End-User Development.pdf,research paper\44.Feasibility of AI-Assisted Programming for End-User Development.pdf,195232,12,31450,Completed,
P045,"45.A Configuration-First Framework for Reproducible, Low-Code Localization.pdf","research paper\45.A Configuration-First Framework for Reproducible, Low-Code Localization.pdf",3430271,12,63906,Completed,
P046,46.Requirements Engineering for No-Code Development.pdf,research paper\46.Requirements Engineering for No-Code Development.pdf,181455,8,23002,Completed,
P047,47.Emerging New Roles for Low-Code Software Development.pdf,research paper\47.Emerging New Roles for Low-Code Software Development.pdf,3184370,11,54251,Completed,
P048,48.Feasibility of Low-Code Development Platforms in Precision Agriculture Opportunities.pdf,research paper\48.Feasibility of Low-Code Development Platforms in Precision Agriculture Opportunities.pdf,752662,31,119590,Completed,
P049,49.Rafi - Low‐Code and No‐Code Tools  A Valuable Aid or a Potential Threat to Professional Developers.pdf,research paper\49.Rafi - Low‐Code and No‐Code Tools  A Valuable Aid or a Potential Threat to Professional Developers.pdf,1734537,18,85227,Completed,
P050,50.Explaining AI Without Code.pdf,research paper\50.Explaining AI Without Code.pdf,1382012,12,35863,Completed,
